Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-24 10:25:04,2018-09-24 10:25:28,24.615s,PASSED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-24 10:25:04,2018-09-24 10:25:28,24.208s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 10:25:04,2018-09-24 10:25:14,9.898s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 10:25:14,2018-09-24 10:25:18,3.894s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 10:25:18,2018-09-24 10:25:19,1.058s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 10:25:19,2018-09-24 10:25:19,0.157s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-24 10:25:19,2018-09-24 10:25:21,1.224s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 10:25:21,2018-09-24 10:25:22,1.158s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 10:25:22,2018-09-24 10:25:24,2.221s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 10:25:24,2018-09-24 10:25:27,3.426s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 10:25:27,2018-09-24 10:25:28,0.845s,PASSED
