Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-19 10:12:27,2018-09-19 10:12:36,9.348s,FAILED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-19 10:12:27,2018-09-19 10:12:35,8.192s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-19 10:12:28,2018-09-19 10:12:31,3.565s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-19 10:12:31,2018-09-19 10:12:35,3.691s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-19 10:12:35,2018-09-19 10:12:35,0.549s,FAILED
