Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-21 10:10:19,2018-09-21 10:10:39,20.238s,PASSED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-21 10:10:19,2018-09-21 10:10:39,19.626s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-21 10:10:20,2018-09-21 10:10:28,8.609s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-21 10:10:28,2018-09-21 10:10:31,3.084s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-21 10:10:31,2018-09-21 10:10:32,0.760s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 10:10:32,2018-09-21 10:10:32,0.159s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-21 10:10:32,2018-09-21 10:10:33,1.257s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 10:10:33,2018-09-21 10:10:35,1.158s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 10:10:35,2018-09-21 10:10:37,2.095s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 10:10:37,2018-09-21 10:10:38,1.283s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-21 10:10:38,2018-09-21 10:10:39,0.744s,PASSED
