Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-20 09:53:03,2018-09-20 09:53:30,26.774s,PASSED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-20 09:53:03,2018-09-20 09:53:30,26.369s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 09:53:04,2018-09-20 09:53:09,5.067s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 09:53:09,2018-09-20 09:53:15,5.777s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 09:53:15,2018-09-20 09:53:17,1.496s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 09:53:17,2018-09-20 09:53:17,0.136s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-20 09:53:17,2018-09-20 09:53:18,1.724s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 09:53:18,2018-09-20 09:53:20,2.083s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 09:53:20,2018-09-20 09:53:26,5.565s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 09:53:26,2018-09-20 09:53:29,2.881s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-20 09:53:29,2018-09-20 09:53:30,0.887s,PASSED
