Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-26 10:06:48,2018-09-26 10:07:16,28.383s,PASSED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-26 10:06:48,2018-09-26 10:07:16,27.651s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-26 10:06:49,2018-09-26 10:07:00,11.896s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-26 10:07:00,2018-09-26 10:07:04,3.843s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-26 10:07:04,2018-09-26 10:07:06,2.200s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 10:07:06,2018-09-26 10:07:07,0.337s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-26 10:07:07,2018-09-26 10:07:08,1.213s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 10:07:08,2018-09-26 10:07:09,1.157s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 10:07:09,2018-09-26 10:07:11,1.935s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 10:07:11,2018-09-26 10:07:13,1.571s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-26 10:07:13,2018-09-26 10:07:15,2.295s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-26 10:07:15,2018-09-26 10:07:16,0.913s,PASSED
