Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-19 18:21:11,2018-09-19 18:21:40,29.271s,PASSED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-19 18:21:11,2018-09-19 18:21:40,28.773s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-19 18:21:11,2018-09-19 18:21:25,13.444s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-19 18:21:25,2018-09-19 18:21:29,4.107s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-19 18:21:29,2018-09-19 18:21:30,1.308s,PASSED
click,Chrome 69.0.3497.100,,2018-09-19 18:21:30,2018-09-19 18:21:30,0.157s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-19 18:21:30,2018-09-19 18:21:32,1.735s,PASSED
click,Chrome 69.0.3497.100,,2018-09-19 18:21:32,2018-09-19 18:21:34,1.607s,PASSED
click,Chrome 69.0.3497.100,,2018-09-19 18:21:34,2018-09-19 18:21:38,3.980s,PASSED
click,Chrome 69.0.3497.100,,2018-09-19 18:21:38,2018-09-19 18:21:39,1.200s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-19 18:21:39,2018-09-19 18:21:40,0.888s,PASSED
