Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-25 09:55:38,2018-09-25 09:56:01,23.653s,PASSED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-25 09:55:38,2018-09-25 09:56:01,23.312s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-25 09:55:38,2018-09-25 09:55:44,6.025s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-25 09:55:44,2018-09-25 09:55:50,5.703s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 09:55:50,2018-09-25 09:55:52,1.512s,PASSED
click,Chrome 69.0.3497.100,,2018-09-25 09:55:52,2018-09-25 09:55:52,0.125s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-25 09:55:52,2018-09-25 09:55:53,1.385s,PASSED
click,Chrome 69.0.3497.100,,2018-09-25 09:55:53,2018-09-25 09:55:54,1.113s,PASSED
click,Chrome 69.0.3497.100,,2018-09-25 09:55:54,2018-09-25 09:56:00,6.031s,PASSED
click,Chrome 69.0.3497.100,,2018-09-25 09:56:00,2018-09-25 09:56:00,0.137s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 09:56:00,2018-09-25 09:56:01,0.757s,PASSED
