Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-25 17:58:04,2018-09-25 17:58:39,35.619s,PASSED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-25 17:58:04,2018-09-25 17:58:39,35.191s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-25 17:58:05,2018-09-25 17:58:22,17.768s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-25 17:58:22,2018-09-25 17:58:31,8.305s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 17:58:31,2018-09-25 17:58:32,1.448s,PASSED
click,Chrome 69.0.3497.100,,2018-09-25 17:58:32,2018-09-25 17:58:32,0.179s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-25 17:58:32,2018-09-25 17:58:33,1.263s,PASSED
click,Chrome 69.0.3497.100,,2018-09-25 17:58:33,2018-09-25 17:58:35,1.318s,PASSED
click,Chrome 69.0.3497.100,,2018-09-25 17:58:35,2018-09-25 17:58:37,1.718s,PASSED
click,Chrome 69.0.3497.100,,2018-09-25 17:58:37,2018-09-25 17:58:39,2.091s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 17:58:39,2018-09-25 17:58:39,0.772s,PASSED
