Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-19 10:16:40,2018-09-19 10:17:05,25.198s,FAILED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-19 10:16:40,2018-09-19 10:17:04,24.250s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-19 10:16:40,2018-09-19 10:16:44,3.622s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-19 10:16:44,2018-09-19 10:16:48,3.617s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-19 10:16:48,2018-09-19 10:16:49,1.295s,PASSED
click,Chrome 69.0.3497.100,,2018-09-19 10:16:49,2018-09-19 10:16:49,0.077s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-19 10:16:49,2018-09-19 10:16:50,1.250s,PASSED
click,Chrome 69.0.3497.100,,2018-09-19 10:16:50,2018-09-19 10:16:52,1.347s,PASSED
click,Chrome 69.0.3497.100,,2018-09-19 10:16:52,2018-09-19 10:16:56,4.477s,PASSED
click,Chrome 69.0.3497.100,,2018-09-19 10:16:56,2018-09-19 10:17:04,8.124s,FAILED
